order_id,products
13564,38400 36389 45066 10603 44142 14992 36695 12980 23734 37687 24852 8859 42719
13608,40310 22559
13680,23265 41220 17902 39984 19057 5876 13176 26940
13715,516 2469 7751 34026 15820 2157 19348 9176 27612 49605
13733,33120 49235 27845 21137 38984 22825 39275 19057 31955 35221 16521 13176 33401 48123 11005
13747,32369 16823 11512 35321 8670 49247
13787,None
13812,11520 27521 47626 45066 21137 22035 24852 22935 30489 9839 22556 39877 1819 35249 7562 33731 27845 20169 16593 44632 48857 40545 14947 17256 26604 48110 35951 16254
13879,6692 8197 29487 22008 4274 35221 44632 3579 48957
13936,7681 9092 8968 32781 37646 20114 28820 16797 26283 29487 19376 26165 18234 1087 44359 15261 7500 33741 24184 20947 13780 31964 27104 44514 46820 9839 9076 15349 4472 38012 23165
13977,27521 39877 24838 651 9839 5876 30391 21903
13982,30352 3562 17334 44199
14003,7175 37067 33682 33015 33754 25146 27966
14049,6568 4306 17758 6414
14098,3800 26314 21927 6286 287
14124,43371 41220 13702 2091 8204 432 15923 1429 34358 24184 27903 43772 12341
14232,15424 14788 15269
14346,18659 33894 36070 44497 45066 9547 25197 1006 17008 35921 44948 8501 24852 5077 42460 15902 9076
14369,24920 8195 47940 23909 37354 44337 41400 6052 6139 11869
14407,38689 19173 26790 3631 34134 6615 32950
14422,None
14453,45007
14484,21410 41013
14616,13829 33320 17304 44306 37687 30776 27325
14697,None
14729,29553 35923 16020 5077 29078 29657 24852 28955 14493
14750,29447 12392 47209 37067 21903 22035 34040 30233 31100
14773,45061 40199 23560 47626 30091 46479 5782 33819 39132 23734 33464 16953 25146 702 35909 25544 10957 8761 44632 28634 7644 5725 27246 22395
14817,26587 790 5918 36591
14850,31651 18023 12427 7131 13591 45051
14936,3594
14974,24852 30850 45835 44292
14994,11520 30756 39275 1940 33000
15028,16283 12341
15066,10962
15067,22368 41509 8424 45007 42440 44596 4799
15069,36714 29996 1194 37029
15076,46088
15094,5760 18465 48226 39947 21137 31987 11422 19578 27966
15272,11520 43961 79
15286,37766 37959 28204 45066 26604 21903 21137 43122
15332,16974
15345,29609 48626 19348 48348 5655
15375,21288 43352 35652 11365 10685
15390,26096 33636 29127 27531 41165 7952 24852 17948 17949
15393,31651 12427
15400,7675 46820
15422,None
15447,45832 42538 12087
15481,4920 43209
15518,33443 10246 39558 39275 19048 41065 30167 34126 45007 25659 4562 26648 48745 16824 44471 27966 46847
15553,7515 47156 13431
15718,18465 23554 27845 17830 45537 47626 21709 3599 27344 24852 35221 26521 2298 4957 27454 5077
15740,41602 1543 38218 7116 37966 3696 32440 14218 25237 3990 44568 44315 13277
15804,14233
15888,196
15928,34466 23236 47144 23082 28080 24852 9076 4605
15972,27104 26209 35939 31717 8518 47209 2091 37646 39877 3376 43122 36724 5161 30391 13176 45082 44910 40604 10749 28597
16148,23965
16160,38771
16169,38562 30117 33894 49544 33065 14999 3661 47792 30994 29801 13176 20809 15902
16225,8192 35782 40199 19125 37719 13176 14846
16258,26209 35140 6218 22220 5428 42265 5876 30489
16287,13176 35561 22839 12341 16797
16295,37915 44142 48183
16323,8193 26209 44008 26252 45066 23879 39180 9934 42736 21872 24852 9020 4605 37374 4799
16467,13889
16471,11520 45066 47900 45
16511,42183 47626 45007 21267 13176 42265 7485
16593,10722 27511
16738,9601 30827 13575 6184 19691 21903 14488 16797
16806,39040 35992 25890 14126 28849
16867,34969 35213 36126 28465
16880,None
16983,9092 5959 38028 46990 24852 20345 29310 6655
17039,39275
17044,34786 46820 49131 19660 21903 24964
17051,46616 31970 22935
17106,15520 34024 27323
17124,30720 36865 260 45066 31371 38028 21903 44949 47766 49175 34590 1700 47144 22825 4920 13249 27845 3142 44359 44501 27741 39781 30953 9071 13176 4605
17151,10054 21351
17200,20580 6871 6187 17828 7781 15050 32747 16589 39275 21295 28601 25906 18839 13176 30489 18618 21903 42265
17209,None
17250,31040 33731 20995 45066 24654 34128 49235 19348 42265 13176 30489
17279,33731 27845 33000 47209 31506 49235 16617 30459 2078
17396,10912 31040 19057 14633 29675 39180 21137 30962 16521 13176 3481 44414
17474,43961 40706 24852 4605
17575,22240 21137 42828 21616 19057 24852 10070 5785 29594 10749
17751,None
17781,11461 12232 32331 8460 33394 34126 14994 25461 12919 29307
17795,39475 14011 6046
17812,21376 8193 44514 39877 40604 26282 21903 21938 35221 30489 45007 22556 44765 8021
17889,3298 21572 13575 6184 10441 32455 37104 43154 48762 45051
18077,3856 8745 27307 2481
18113,3107 8424 40332 17008 11827 31134
18145,4210 40156 17021 30630
18146,28204 24852 16797 12341
18156,24010 41665 36459 6128 33129 16234 459 22124 13870 17616 10673 27966 2164 5077 2519 13176 29373 24830 33045
18213,13176 8277
18221,18523 260 27845 28849 22825 47626 36695 21903 21137 22035 24852 8087 44632 11481 15290 11513 45066
18258,38689 39812 40118 41703 19660 25230 11023 43122 33043 7669 14678 49401 13176 38457 44987 27966 3957
18278,18370 39812 19558 329 25931 27122 13176 42169 794 14429 8414 29055
18294,4960 17600 26914 22124 44910 22035 24852 29594
18349,12145 39619 38453
18362,18811
18367,13176
18383,31888 16476
18511,6656 40706 9515 14596 7173 22935 34065 5785 27544 30489 17948 36389 21417 44075 25005 15794 32052 37687 38456 42701 8277 19548 29662 34530 5479 16616 44397 14197 23543 46969 34429 25598
18531,27841 44683 37065 459 23341 4210 24852
18542,34339 45948 19101 5646
18551,39275 6087
18559,43352 24852 8414 40174 25199
18582,2592 11777 10753 15984 31635 8277 13176
18635,23644 38689 21388 44820 16262
18649,21386
18660,16185 36550 5785
18671,11777 40198 27845 46886 26604 47788 17794 15503 44661 16759 13176 41787 35045
18748,47209 4138 13166 39055 25718 19611
18836,42723 13892 43014 28842 4620 17805 44014 1838 5913 22906
18858,44233 24852
18920,16953 31846
18925,21081 5212 27966
18937,None
18964,40723 5764 24838 5450 13176 22035 4920 42585 15995 31869 46654 31263
18967,37377 30696 4605 10673 4562 10613 47357 6046
18996,31654 32650 14996 117 43988 8859
19099,33198
19263,27104 37220 48679 47209 44359 11182 30639 21137 40852 13176 6361 14971 46047
19292,30720 14084 28204 36011 42828 38159 24852
19299,17616 28928 387 41148 41455
19361,27521 40545 35951 24852 37496 17948
19388,27521 44359 45007 47734 13176 24830
19420,1234 26604 39468 365 21137 32018 30908 24852 29557 4920 42585 46906 49628
19438,21376 32033 47626 20710 42342 21543 5322 12813 13870 49683 34262 14858
19443,47155 39190 47626 39947 43789 21198 45200 30776 21938 45747 21278 35094 24184 38618 33245 41950 45535
19506,12576 18721 29660 20261
19588,47626 16797
19619,36431
19719,1947 5450 34668 32177 14966 22935 13176 8859 27966
19727,40120 12341
19759,25842
19774,22721 37646 20995 24964 4294 28842 12674 27086 21903 24561 19508 32981 30391 13176 5785 40604 35221
19786,22915 47766 47626 37646 39190 7963 32033 27554 9637 44201 30764 34224 31040 43713 1096 46667 37838 18382 4957 19057 13176 46969
19836,41065 29307 47766
19883,30696 45135 11826 32851 37940 43772
19927,30953 40706 3957 8174 21903
19974,45268 39812 36205
20130,10145 15820 17807 39411 9779 29078 18104 6201 33754 40571 29309
20158,40706 47209 28204 37646 7090 30489 42265
20220,38146 40592 32915 24852 16797 4517 5287 4138 32043 14636 14131 28993 9796 46023 19784 5067 10326 3171 28004 23909 33894 31725 39921 9076
20235,46627 29926 42342 42633 31883 13166 18641 22963 24852 11950 40334 30489
20345,10369 13176 47672 45066 25931 7916 34511 21137 14870 43352 41787
20410,40706 22281 28204 32578 34126 21903 49235 5876 5077 40396 23165 13502
20502,46979 41220 29447 44008 24489 36772 365 19677 20114 47059 48925 33015 7673 26351 28476 44765 27966 1695
20504,44359 47209 30391 21903 37687 13176 28985 35951 17948 27966
20524,44799 32115 45296 49139 24852 31509 38615 37849 8859 24703
20525,46979 24852
20750,27554 4091 9124 33957 13783 40777 47626 47211 36274 15469 44528 19218 15891 2327 24184 22308 38266 8859 7644 40415
20765,14947 40332 40174 10032 35252 35221 16953 42648 24852
20797,8518 29782 21903
20801,40376 5867 27323 9829 48527
20806,24852 12276 37886
20851,24184 24852
20852,12608 196 13643 14252 37241 17912 29529
20872,13755 14740
20894,39251 5876 3869
20898,34217 23148 45646 38273
20975,None
21043,24489 46802 12023
21103,17122 46149
21109,47209 20114 26209 48205 29487
21121,5025 9098 15535 24852 18523 4605
21129,34047
21194,24838 48679 39947 24852 36285 48287
21198,43720 35336 7131 27790 10326
21227,9776 47209 13852 49583
21232,12419
21262,24184 26209 44560 42736 36550
21279,3040 20708 9515 3308 26384 4210 29363 24852 15125 8859 6846
21297,4920 36472 4724 12341 13176 1689 16797
21309,10957
21455,11520 40706 17284 45066 45965 43086 35834 13176 24964 4410 20827 33468 5514 47626
21517,49683 42585 8955 6187 26209
21569,49683 21903
21591,39046 36969 7274 722 213 36923
21602,None
21611,36929 3682 3396 2855 7388 31467 35495 24184 46226 4372 31927 5240 23801 6268 7485 41950
21628,24838 2855 48171 49683 4472 11422
21882,26940 38293 21903
21912,7778 8195 29373 43094 49591
21937,34050 27428 26152 37065 47626 28174 14992 24852 39993
21941,28289 42701 46979 27845 31343 48679 41544 25133 21903 2450 12341 43961 33401 9339 31205
21969,8615 6474 26604 4920 42265 21019
21990,22053 26606
22033,11136 31553 18465 20114 35221 44632 4697 4605 14197
22049,None
22058,33381 17704 41806 34358 35547 40604
22124,5899 3957
22159,30811 46886
22213,43929 48697 40709 2913
22240,5025 6789 33671 14952 24203 29743 44177 4562 12916 15221 31030 16185 46361 17691 43772
22245,27521 37890 10385 48277 44377 13176 42265
22249,19057 28427 19213 27344 27761 24852 14999 34969
22255,4193 40706 18531 34943 8518 2086 30391 33198 24079 7088 11123 18677 26790 5015 11352 15226 3835 22170 32734 41375
22285,43352
22323,12296 24273 14118 26119
22324,46992 13328 33090 11123 31231
22336,24129 40706 24964 12395 16004 24852 47734 28985 17284
22447,33873 23452 6615 11068 38847
22453,24933 12872 19660 47630 45007 47734 39928 32734
22467,46720 38419
22503,8736 44359 45603 24964 8518 22151 37067 42828 42958 6287 34993 25010 17044 20437 21903 21405 17758
22629,34080 39351 33000 20842 49131 33548 18670 42450 49235 24852 39190 48695 44987 4957
22923,13031 48682 7156 13176 14652 15070
22935,21616 22089 1234 24852 23622
22941,47626 44987
22955,6873 18389 5479
23032,1940 18926
23071,38689 24964 3142 16759 4942 29487 36180 47766 45303 47492
23097,43352 32689 196
23099,6369 26318
23221,47792 7781 5134 35951 17872 32465 26298
23255,18465 33647 24852 18618 44359 30489 5646 45679 5684 47766 30391 39097 43713 13519 11421
23270,24361
23281,30726 37646 21137 5785 39964 39332 9637 45223 4957 10312 48946 22963 13877 1463 27966 14917 13512 15693 39475 46676 26968 10586 18523 21469 32864 13176 33787
23318,40258 13702 23148 25965 24852 24631 11865 6300
23367,None
23379,20632 20561 20851 3308 27925
23392,26209 4210 20114
23440,47766
23500,27104 35842 24838 49416 43086 27695 44624 6734 18070 13176 13214
23528,42777 21243 9292 46341
23541,39464
23547,11233 13642 41351 22108 49098 35342 32915 24852 7930 14780 4605
23626,46650 40852 19446 15767
23668,35547 24852 16589 24838
23854,10032 47141 19495
23873,42585 14986 28204 45 35951 30489 44632 43961
23877,41960 21137 36364 32782
23906,260 28199 31915 9839 29447 39928 13176
23910,6184 42803 12341
24131,1504 27521 3397 45448 11707 48988
24153,47216 20114 47766
24185,9444 44201 39275 29326 21137 37508 11123 41844 30489 31231
24212,27423
24223,None
24237,43352 39275 32689 33000 35561 30827 8048 21288 13176
24265,24716
24333,None
24335,16732
24372,9175
24435,29509 45687
24444,12341
24477,12324 28745 18286 432 42900 10874 4799 45535
24494,10753 40706 31717 48679 47209 17484 22829 47759 13874 31444 13176 9755 27966 36735
24508,40777 48485 26558
24511,17122 44753 47912 31596 47439 45681
24517,37825 14852 27845 21267 35221 20119 13176 4957
24541,30921 36259 28204 10613
24580,28204 5077 30230 4377 11837 48927
24582,22046
24590,45007 46802 49683 24852 48726 5144 8859
24646,44932 28199 25513 5450 1323 19057 22035 24852 726 21567
24752,44116 44098 14678 47780 7781 48487 10603 28204 35887 9808 49683 1940 22276 13176 30420 8022
24777,47626
24873,41290 8523 15374 20786 41273 41371 19068
24883,29328 40706 49235 5876
24912,11520 17794 24964 27845 1392 21174 22935 29307 26940
24950,46724 24852 48245 43910
25009,34050 37766 34702 24852 47772 16797 35752 18987 2229 12218 27323 37066 46410 46031 24658 6099 9558 46817 46307 7533 40174 43632 13944
25068,47766 45747 12581 45774
25079,7461 46665 7500 25133 2962 30489
25095,39276 32102 40486
25154,10369 26497 28682 13198 14996 27413 13848 46107 12206 23734 16185 11068 47626 22474 38988 27471 13535 26209 27881 8555 44142 34034 38003 33401 33274
25164,19660
25192,38273 47900 7862 47719
25205,33000 27966
25223,4037 7622 48366 49683 20314 45948 46654
25254,None
25388,21313 12899 1924 6184 49610 18443 9358 4920 16797
25411,None
25427,34243 37349 40872 18441 79 43406 40079 22260 46990 44471 1240 14074 7963 5564 36735
25537,13176 17706
25653,26209 47209 17706 37646 21903 24852 38293 28601 7156
25662,25 4658 7035 21303
25663,34969 20084 30391
25687,9825 47209 5450 28204 13517 45007 19348 22935 43129 31343 47626
25782,1360 30489 30391
25850,1090 35547 7781 21927 47209 10895 432 46979 4920 21903
26010,21889 48226 1148 44053 5073
26180,33198
26185,39928 30353 35108
26282,12916
26289,4137 23909
26301,1760 38371 30756 27429 49383 45066 3019 13740 44116 47766 36856 24852
26320,27521 5876 19678
26383,2178 17795 16647 8707 24852 41116 16797 34619 9405 27985 1117 41950 19429 19809 13029 6889 26604 39921 12914 49139 9076 9207
26393,9955
26413,13984 48197 37897 25197 43789 21137 46962 27156 26805 22935 13176 42585 47610 13727
26473,20776
26483,13231 47766 35503
26511,30489
26534,890 26759
26601,24092
26626,39369 31394 36051 1181 33894
26674,15872 21616 43394 27845 42193 33768 41065 48775 45007 5456 4920 48745 13176 42265 5883 46969
26697,15937 34050 31553 9839
26705,16616 28985 35946 24852 8277
26707,44275 37935 21872 27730 22035 19446
26717,46979 30756 43726 1700 26165 33198 39160 24857 3098 27966
26720,5025 27323 24964 27845 10246 44961 47209 28842 5479 6104 7014 26209 45368 9018 44987 11068 47626
26776,17122 45475 8070 12333 27179 20802 14114 5550 16797 4920 26706 40819 24852 18104 34298 47519 17949 21150 29695
26778,46402 37190 32519 29778 47766 19005
26951,39408 30640 17577 47766 32655
26979,6184 26348 37710
27093,45335
27095,14947 21137 8424 45066 22124 4945 31683 47766 20600 42585 15290
27121,33754 39475
27125,34214 14218 33198 9808 22035 4920 42719
27168,32864 43713 34214 43789 1940 48894 8670
27260,35652 17157 19691 21137 4724 23288 23423
27317,5729 19691 24852 47735
27357,13176 40706 23236 7054
27364,None
27370,None
27373,47599 30021 44359 46844 4493 8174 43631 25204 20694 9 17080 36186 37357 41276 39877
27427,13640 226 14126 47144 47209 29898 42699 17794 45646 36561 45276 6238 41332 5785 6680 30489 18362 22716 27966
27486,2180 35430 6473 46667 29934 37940 15134 38456 23165 23198 32446
27604,26209 162 28527 8193 47626 34126 3869 16145 19982 25659 4605
27632,3696 40354 3459 40709 39408 43459 24852 23322 49605
27716,48736 36640 5646 31040 2450 13851
27738,None
27798,28199 14739 28535
27887,38340 47877 33894 47977 3499 9389 43631 31124 17631 36316 13951
27919,13176 33352 17794 12283 21938
27929,6128
27937,37067 27845 15399 5450 17835 27086 21137 11250
27971,46448 46946 8228 13166 30183 29546 18175 19340 47629 31278 27344 12817 45013 16953 27801 35386 5819 36316 16797 14933
27989,36640 46738
28033,20144 17803
28049,24964 19782 45224 16908 21903 3952 5876 5785
28089,38200 24852
28187,37317 21288 21385 5258 22900 43352
28211,20754 3599 36207
28316,10673 7413 35909 1511 40332 2029 24273 49683 24852 44085 44632 4085
28363,20995 48679 22825 47626 16398 2462 34654 47766 30391 13176 21019 27966
28369,46979 44683 12341 30391 13176 41950
28467,10017 18531 27845 47209 47626 40396 21174 22035 21137 49683 27156 40310 49236 11452 5373 40709
28493,20995 29127 35121 27683 12341 34844 41950 17429
28634,39160 47626 4452 8309 24799
28651,42445 34126 44397 13176 39475 8277 10168 48857 17487 23644 23029
28707,32864 47209 24964 24838
28710,12564
28715,35951
28763,26530 44799
28767,2120 6442 38444 927
28777,18148 18439 37768 11182 14897 4564 14493 28990 3999
28823,25476 41220 27179 4269 43822 49677 39408 29078 4313 31707
28858,38383 31506 3339 5479
28869,25931 45763 47626 27845 17487
28873,17794 11945 41325 34126 432 27966
28926,40002 40198 8490 28465 6933 21463
28969,20738 10819 15780 23753 47890 14005 4137 26709
28986,21019 16012 46107 31564
28995,35201 45607 46475 32303 46672 36436 41625 4347 49279
29073,None
29096,None
29193,25890 44422 12614 22151 11512 27730 21267 47766 27959 39928 25919 36189 32831
29212,35108
29213,24616 30776 45603 48900 45311
29282,19057 11159 48801 27521
